№,Название завтрака:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из,Тип блюда
1,"Суп овощной с брокколи, цветной капустой, кабачком и морковью","🥕 Морковь – 1/2 средней (около 50 г)
🥔 Картофель – 1 небольшой (около 70 г)
🥦 Брокколи – 3-4 соцветия (около 50 г)
🥬 Цветная капуста – 3-4 соцветия (около 50 г)
🥒 Кабачок – 50 г
Вода или овощной бульон – 300-350 мл
🧂 Соль – щепотка
Лавровый лист – 1 шт. (по желанию)
🌿 Зелень (укроп, петрушка) – для подачи","Очистите картофель, морковь и кабачок. Нарежьте картофель кубиками, морковь – кружочками, кабачок – кубиками. Разберите брокколи и цветную капусту на небольшие соцветия.
В кастрюлю налейте воду или овощной бульон и доведите до кипения. Добавьте картофель и морковь, варите на среднем огне около 10 минут.
Добавьте брокколи, цветную капусту и кабачок. Варите еще 10-15 минут, пока все овощи не станут мягкими.
Добавьте лавровый лист и щепотку соли по вкусу за несколько минут до готовности, затем снимите лавровый лист.
Подавайте суп теплым, посыпав свежей зеленью. Для более мягкого вкуса можно добавить немного отварного овощного бульона.",суп,овощной,Первое блюдо
2,"Суп овощной с брокколи, цветной капустой и морковью","🥦 Брокколи – 50 г (примерно 3-4 соцветия)
🥬 Цветная капуста – 50 г (примерно 3-4 соцветия)
🥕 Морковь – 50 г (примерно 1/2 средней моркови)
🥔 Картофель – 50 г (примерно 1/2 средней картофелины)
Вода – 300 мл
Лавровый лист – 1 шт.
🧂 Соль – по вкусу (рекомендуется минимальное количество)
🌿 Зелень (укроп, петрушка) – для украшения","Брокколи и цветную капусту разделите на небольшие соцветия.
Морковь очистите и нарежьте тонкими кружочками или кубиками.
Картофель очистите и нарежьте небольшими кубиками.
В кастрюлю налейте воду и доведите ее до кипения.
Добавьте нарезанный картофель и морковь. Варите на среднем огне 5-7 минут.
Затем добавьте брокколи и цветную капусту, лавровый лист и продолжайте варить еще 5-7 минут, пока все овощи не станут мягкими.
Посолите суп по вкусу, но старайтесь использовать минимальное количество соли.
Выньте лавровый лист перед подачей.
Разлейте суп по тарелкам и украсьте свежей зеленью.",суп,овощной,Первое блюдо
3,Суп овощной с брокколи,"🥦 Брокколи – 100 г
🥕 Морковь – 1/2 штуки
🥔 Картофель – 1 штука
🧅 Лук – 1/4 головки
Вода – 400 мл
🧂 Соль – по вкусу
🌿 Зелень (укроп, петрушка) – по вкусу","Очистите и нарежьте картофель кубиками. Морковь нарежьте кружочками или натрите на крупной терке. Лук мелко нарежьте. Брокколи разделите на небольшие соцветия.
Вскипятите 400 мл воды и добавьте в нее нарезанный картофель. Варите его на среднем огне 10 минут.
Через 10 минут добавьте в кастрюлю морковь и лук. Варите все вместе еще 5 минут.
В конце варки, за 5 минут до готовности, добавьте брокколи. Варите до мягкости всех овощей.
Посолите суп по вкусу и снимите с огня. Добавьте мелко нарезанную зелень для аромата.
Подавать овощной суп с брокколи можно теплым.",суп,овощной,Первое блюдо
4,Суп овощной с цветной капустой,"🥬 Цветная капуста – 100 г
🥔 Картофель – 1 шт. (средний, 100 г)
🥕 Морковь – 1/2 шт. (50 г)
🧅 Лук – 1/4 шт.
Вода – 300 мл
🧂 Соль – по вкусу
Лавровый лист – 1 шт.
🌿 Свежая зелень (укроп, петрушка) – по желанию","Разберите цветную капусту на небольшие соцветия.
Картофель очистите и нарежьте кубиками.
Морковь нарежьте кружочками или мелкими кубиками.
Лук мелко нашинкуйте.
В кастрюлю налейте 300 мл воды и доведите её до кипения.
Добавьте картофель, морковь и лук. Варите 10-12 минут до мягкости.
Затем добавьте цветную капусту и варите ещё 5-7 минут до готовности.
Добавьте лавровый лист за 5 минут до окончания варки.
Посолите суп по вкусу и снимите с огня.
Перед подачей можно добавить свежую зелень. Суп подается горячим.",суп,овощной,Первое блюдо
5,Суп овощной с кабачком,"🥒 Кабачок – 100 г
🥔 Картофель – 1 шт. (средний, 100 г)
🥕 Морковь – 1/2 шт. (50 г)
🧅 Лук – 1/4 шт.
Вода – 300 мл
🧂 Соль – по вкусу
Лавровый лист – 1 шт.
🌿 Свежая зелень (укроп, петрушка) – по желанию","Кабачок нарежьте кубиками или полукольцами.
Картофель очистите и нарежьте кубиками.
Морковь нарежьте тонкими кружочками или мелкими кубиками.
Лук мелко нашинкуйте.
В кастрюлю налейте 300 мл воды и доведите её до кипения.
Добавьте нарезанные картофель, морковь и лук. Варите на среднем огне 10-12 минут, пока овощи не станут мягкими.
Затем добавьте кабачки и варите ещё 5-7 минут до мягкости кабачков.
Добавьте лавровый лист за 5 минут до окончания варки.
Посолите суп по вкусу и снимите с огня.
Перед подачей можно добавить свежую зелень. Суп подается горячим.",суп,овощной,Первое блюдо
6,Суп овощной из корня сельдерея,"Корень сельдерея – 100 г
🥔 Картофель – 1 небольшой клубень (100 г)
🥕 Морковь – 1/2 шт.
🧅 Лук – 1/4 шт.
Вода или овощной бульон – 300 мл
🧂 Соль – по вкусу
Лавровый лист – 1 шт. (по желанию)
🌿 Свежая зелень (укроп, петрушка) для подачи","Корень сельдерея очистите и нарежьте кубиками.
Картофель очистите и нарежьте небольшими кубиками.
Морковь нарежьте тонкими кружочками.
Лук мелко нарежьте.
В кастрюлю налейте воду или овощной бульон, доведите до кипения.
Добавьте корень сельдерея, картофель, морковь и лук.
Добавьте лавровый лист, если используете, и немного соли.
Варите на среднем огне около 15-20 минут до мягкости всех овощей.
Если хотите приготовить суп-пюре, снимите кастрюлю с огня и дайте супу слегка остыть. Удалите лавровый лист.
Измельчите суп погружным блендером до однородной консистенции.
Верните на огонь и подогрейте до нужной температуры.
Подавайте суп с мелко нарезанной свежей зеленью.",суп,овощной,Первое блюдо
7,Суп-пюре из тыквы,"🎃 Тыква – 150 г
🥔 Картофель – 1 небольшой (около 70 г)
🥕 Морковь – 1/2 средней (около 50 г)
🧅 Лук – 1/4 небольшой (по желанию)
Вода или овощной бульон – 250-300 мл
🧂 Соль – щепотка
🥛 Сливки (10-15%) или кокосовое молоко – 2 ст.л. (по желанию)
🧈 Сливочное масло – 1/2 ч.л. (по желанию)","Очистите тыкву, картофель, морковь и лук. Нарежьте тыкву и картофель небольшими кубиками, морковь – кружочками, а лук – мелко (если используете).
В кастрюлю налейте воду или овощной бульон, доведите до кипения и добавьте нарезанные овощи. Варите на среднем огне около 15-20 минут, пока все овощи не станут мягкими.
Когда овощи сварятся, слейте лишний бульон (оставив немного для консистенции) и с помощью блендера измельчите овощи в пюре.
После измельчения добавьте сливки или кокосовое молоко, немного сливочного масла и снова перемешайте пюре до однородности. При необходимости добавьте немного отваренного бульона для достижения нужной консистенции.
Добавьте щепотку соли по вкусу и снова перемешайте.
Подавайте тыквенный суп-пюре теплым. Для подачи можно добавить зелень или тыквенные семечки для украшения.",суп-пюре,овощной,Первое блюдо
8,Суп-пюре из брокколи и шпината,"🥦 Брокколи – 100 г
🥬 Шпинат (свежий или замороженный) – 50 г
🥔 Картофель – 1 шт. (средний, 100 г)
🧅 Лук – 1/4 шт.
Вода или овощной бульон – 300 мл
🧂 Соль – по вкусу
🌿 Свежая зелень (укроп, петрушка) – по желанию","Картофель очистите и нарежьте небольшими кубиками.
Лук мелко нарежьте.
Брокколи разберите на соцветия.
Если используете свежий шпинат, промойте его и нарежьте.
В кастрюлю налейте воду или овощной бульон, доведите до кипения.
Добавьте картофель и лук, варите на среднем огне около 10 минут до мягкости картофеля.
Добавьте брокколи и варите ещё 5 минут.
Добавьте шпинат и варите ещё 2-3 минуты, пока он не станет мягким.
Снимите суп с огня, дайте слегка остыть и измельчите его в блендере до однородного состояния.
Если суп слишком густой, добавьте немного воды или бульона.
Верните суп в кастрюлю, посолите по вкусу и разогрейте его до нужной температуры.
Украсьте суп свежей зеленью перед подачей.",суп-пюре,овощной,Первое блюдо
9,Суп-пюре из картофеля и шпината,"🥔 Картофель – 150 г (1 средний клубень)
🥬 Шпинат (свежий или замороженный) – 50 г
🧅 Лук – 1/4 шт.
Вода или овощной бульон – 300 мл
🧂 Соль – по вкусу
🌿 Свежая зелень для подачи (по желанию)","Картофель очистите и нарежьте небольшими кубиками.
Лук мелко нарежьте.
Если шпинат свежий, тщательно промойте его и нарежьте крупно.
В кастрюлю налейте воду или овощной бульон, доведите до кипения.
Добавьте картофель и лук, варите на среднем огне около 15 минут до мягкости картофеля.
Когда картофель станет мягким, добавьте шпинат и варите ещё 2-3 минуты, пока шпинат не ""увянет"".
Снимите кастрюлю с огня и дайте супу слегка остыть.
Измельчите суп погружным блендером до однородной консистенции.
Если суп получается слишком густым, добавьте немного воды или бульона.
Верните суп на огонь, добавьте соль по вкусу и подогрейте до нужной температуры.
Подавайте суп с мелко нарезанной свежей зеленью по желанию.",суп-пюре,овощной,Первое блюдо
10,Щи вегетарианские,"🥬 Белокочанная капуста – 100 г
🥕 Морковь – 30 г (примерно 1/3 средней моркови)
🥔 Картофель – 50 г (примерно 1/2 средней картофелины)
🧅 Лук репчатый – 20 г (примерно 1/4 средней луковицы)
🍅 Помидор (по желанию) – 1 шт. среднего размера
Лавровый лист – 1 шт.
Вода – 300 мл
🧂 Соль – по вкусу (минимальное количество)
🧈 Растительное масло (для тушения овощей) – 1 ч. ложка
🌿 Зелень (укроп, петрушка) – для украшения","Капусту нашинкуйте тонкими полосками.
Морковь очистите и натрите на крупной терке или нарежьте тонкими кружочками.
Картофель очистите и нарежьте небольшими кубиками.
Лук очистите и нарежьте мелкими кубиками.
Если используете помидор, очистите его от кожуры (можно обдать кипятком для облегчения процесса) и нарежьте кубиками.
В кастрюле разогрейте растительное масло и обжарьте лук до прозрачности.
Добавьте к луку натертую морковь и тушите несколько минут.
Если используете помидор, добавьте его к луку и моркови и тушите еще 2-3 минуты.
В кастрюлю с тушеными овощами добавьте воду, доведите до кипения.
Добавьте нарезанный картофель и капусту.
Варите на среднем огне 15-20 минут, пока картофель и капуста не станут мягкими.
В конце варки добавьте лавровый лист и посолите по вкусу, используя минимальное количество соли.
Выньте лавровый лист перед подачей.
Подавайте щи, украсив свежей зеленью.",щи,овощной,Первое блюдо
